id,genre,track_name,preview_url,location,filename,artist,artist_uri,album,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,rms_calc,mean_energy,std_energy,min_energy,max_energy,max_rms,std_rms,median_rms,min_rms,mfcc_mean_00,mfcc_mean_01,mfcc_mean_02,mfcc_mean_03,mfcc_mean_04,mfcc_mean_05,mfcc_mean_06,mfcc_mean_07,mfcc_mean_08,mfcc_mean_09,mfcc_mean_10,mfcc_mean_11,mfcc_std_00,mfcc_std_01,mfcc_std_02,mfcc_std_03,mfcc_std_04,mfcc_std_05,mfcc_std_06,mfcc_std_07,mfcc_std_08,mfcc_std_09,mfcc_std_10,mfcc_std_11,mfcc_max_00,mfcc_max_01,mfcc_max_02,mfcc_max_03,mfcc_max_04,mfcc_max_05,mfcc_max_06,mfcc_max_07,mfcc_max_08,mfcc_max_09,mfcc_max_10,mfcc_max_11,mfcc_min_00,mfcc_min_01,mfcc_min_02,mfcc_min_03,mfcc_min_04,mfcc_min_05,mfcc_min_06,mfcc_min_07,mfcc_min_08,mfcc_min_09,mfcc_min_10,mfcc_min_11
2jea8FLPOPtg2AdGksDkYJ,classical,"String Trio in E Major, Op. 34 No. 6, G. 106: I. Allegro giusto",https://p.scdn.co/mp3-preview/16837985f7a48bd87835d038a8c0e709badc6e21?cid=b82fb22d072d4120850c99225ff01644,./scrapes/classical/000000_String Trio in E Major Op 34 No 6 G 106 I Allegro giusto.mp3,000000_String Trio in E Major Op 34 No 6 G 106 I Allegro giusto.mp3,Luigi Boccherini,spotify:artist:2l4vGfFV7e46yO8lxfxR76,"Boccherini: String Trios, Op. 34",2017-06-02,0.41200000000000003,0.0811,10,-17.408,1,0.0417,0.8909999999999999,0.0107,0.052000000000000005,0.22,146.213,[[0.11402931 0.11642817 0.10932964 ... 0.193105   0.19570257 0.21261987]],9.801730760269178,11.063540761922862,0.03575776098148287,84.93064850812854,0.4072839021682739,0.069755420088768,0.10742664337158203,0.00835699588060379,-213.8437042236328,168.33209228515625,-31.525381088256836,26.79113006591797,5.486515522003174,10.596121788024902,-6.919872760772705,-3.6930646896362305,-4.441382884979248,2.057098388671875,0.4516350328922272,-7.200742721557617,64.04008483886719,22.18932342529297,26.132883071899414,15.780777931213379,13.754022598266602,11.306480407714844,10.328742027282715,7.832715034484863,10.199296951293945,9.056735038757324,7.6620001792907715,9.033514022827148,-81.82671356201172,222.27578735351562,51.51930618286133,69.61810302734375,39.88597869873047,53.019222259521484,17.78530502319336,23.837814331054688,21.199687957763672,30.762237548828125,26.66244888305664,29.88332748413086,-399.93133544921875,99.04026794433594,-84.28893280029297,-14.867263793945312,-38.48432159423828,-18.11914825439453,-44.71360397338867,-37.78787612915039,-35.739158630371094,-31.600849151611328,-28.51917266845703,-39.11234664916992
3EM40T8QWY8x1DtC3xSzEj,classical,"Giuseppe Tornatore Suite: Looking for You (Love Theme) from ""Cinema Paradiso""",https://p.scdn.co/mp3-preview/76f68c74ecbb88aa2ec0ea74cc9ef83f3af5c9ed?cid=b82fb22d072d4120850c99225ff01644,./scrapes/classical/000001_Giuseppe Tornatore Suite Looking for You Love Theme from Cinema Paradiso.mp3,000001_Giuseppe Tornatore Suite Looking for You Love Theme from Cinema Paradiso.mp3,Yo-Yo Ma,spotify:artist:5Dl3HXZjG6ZOWT5cV375lk,Yo-Yo Ma Plays Ennio Morricone (Remastered),2004,0.171,0.248,10,-13.959000000000001,1,0.0398,0.97,0.902,0.122,0.047,74.667,[[0.22747982 0.2231784  0.20264304 ... 0.11147045 0.11138484 0.08849831]],22.871598324379928,14.855844269807966,2.3316863527587444,121.4528641132921,0.4870447814464569,0.06332273036241531,0.19166070222854614,0.07186488807201385,-160.51202392578125,198.7647247314453,-30.627939224243164,24.08100700378418,-1.6784425973892212,5.681975364685059,-9.996565818786621,-5.057151794433594,5.2978410720825195,-7.554087162017822,-5.828780651092529,-6.749790668487549,19.876026153564453,12.74776840209961,8.65384292602539,8.717912673950195,10.339064598083496,10.260536193847656,8.737046241760254,7.064320087432861,7.33125638961792,8.789791107177734,7.845108509063721,7.679061412811279,-102.8331069946289,244.6462860107422,-2.426107406616211,55.56916427612305,25.447494506835938,38.34375,15.147022247314453,16.777963638305664,32.825130462646484,25.162139892578125,20.842632293701172,14.542752265930176,-219.1621856689453,155.0129852294922,-61.75030517578125,-0.6167529821395874,-32.04806137084961,-21.80630111694336,-49.34268569946289,-30.07797622680664,-15.996540069580078,-33.229736328125,-32.85480499267578,-35.64371109008789
56fyiB01ZVUoD0Exlw4ToV,classical,"Fantasy for Piano, Chorus and Orchestra ,Op.80 'Choral Fantasia': Finale - Allegro -",https://p.scdn.co/mp3-preview/3679c315932b2994082cad4c4089dadf3c09454e?cid=b82fb22d072d4120850c99225ff01644,./scrapes/classical/000002_Fantasy for Piano Chorus and Orchestra Op 80 Choral Fantasia Finale Allegro.mp3,000002_Fantasy for Piano Chorus and Orchestra Op 80 Choral Fantasia Finale Allegro.mp3,Daniel Barenboim,spotify:artist:78sEozQOEJxzXegUuqRSgH,The Very Best of Daniel Barenboim,2012-06-29,0.311,0.0255,0,-24.587,1,0.0564,0.968,0.605,0.348,0.225,164.024,[[0.22268195 0.21730985 0.1974733  ... 0.17427817 0.16686182 0.1815857 ]],6.666912502068855,11.093507433083873,0.001916457941053551,71.06289700835578,0.3725516200065613,0.08748950064182281,0.021075159311294556,0.001934704603627324,-307.3428649902344,170.3019256591797,-25.558460235595703,8.710993766784668,7.911365509033203,0.12868742644786835,-8.828319549560547,-3.7302000522613525,-5.518927097320557,-6.806619644165039,-5.753084182739258,-5.717520236968994,127.14799499511719,38.90363693237305,29.45360565185547,18.76085090637207,12.604804039001465,11.783405303955078,9.068860054016113,9.881800651550293,9.536527633666992,10.175909996032715,9.081315040588379,8.1835298538208,-70.58116149902344,250.80996704101562,35.91236877441406,54.51040267944336,35.76823425292969,36.73642349243164,18.108985900878906,25.704599380493164,19.41983413696289,24.33660125732422,21.867568969726562,25.910343170166016,-508.2576904296875,77.1182632446289,-99.00798034667969,-32.53046417236328,-30.16809844970703,-45.98542785644531,-35.51258850097656,-31.061250686645508,-36.113487243652344,-35.85674285888672,-33.066673278808594,-30.25261688232422
2Ul1w03IYHv9Bhu3uGcErm,classical,"Matthäus Passion, BWV 244: Chori, ""Sein Blut komme über uns und unsere Kinder""",https://p.scdn.co/mp3-preview/25c002af60d7632832b64702ad144ef658f00697?cid=b82fb22d072d4120850c99225ff01644,./scrapes/classical/000003_Matth us Passion BWV 244 Chori Sein Blut komme ber uns und unsere Kinder.mp3,000003_Matth us Passion BWV 244 Chori Sein Blut komme ber uns und unsere Kinder.mp3,Johann Sebastian Bach,spotify:artist:5aIqB5nVVvmFsvSdExz408,"Bach: Matthäus Passion, BWV 244",2007-02-20,0.51,0.34299999999999997,10,-15.482000000000001,0,0.0326,0.9520000000000001,0.61,0.6729999999999999,0.897,119.094,[[0.13014464 0.13792874 0.13563886 ... 0.2019073  0.21281241 0.2011943 ]],12.228893110704014,11.124039748889055,0.34000731567029874,132.0474155458087,0.507843554019928,0.05922272801399231,0.13411682844161987,0.025769686326384544,-172.6748046875,202.89028930664062,-38.98577880859375,15.267430305480957,3.3708393573760986,0.4042956531047821,-11.720169067382812,-7.06777286529541,7.0992207527160645,-11.587287902832031,-6.250609397888184,3.8374249935150146,28.06443977355957,11.293645858764648,12.72037124633789,9.07734203338623,10.65890121459961,9.38351821899414,7.602553844451904,8.328107833862305,7.874104022979736,7.702363967895508,7.3568291664123535,7.393792629241943,-102.0505599975586,240.22677612304688,4.964076042175293,43.481964111328125,31.153676986694336,32.22380447387695,18.109853744506836,18.67101287841797,34.595027923583984,15.129230499267578,18.356788635253906,28.105823516845703,-280.3803405761719,164.33059692382812,-71.83074951171875,-10.916566848754883,-26.10159683227539,-36.635616302490234,-36.81394958496094,-29.617809295654297,-16.168630599975586,-35.615509033203125,-31.92494010925293,-21.446712493896484
2CiAM2n1W4epHc5ennCXgW,classical,"Le quattro stagioni (The Four Seasons), Op. 8 - Concerto No. 1 in E Major, RV 269, ""La primavera"" (Spring): III. Danza pastorale: Allegro",https://p.scdn.co/mp3-preview/b635fe86d97fc4a8eea6ee8724d91c95bd44ce81?cid=b82fb22d072d4120850c99225ff01644,./scrapes/classical/000004_Le quattro stagioni The Four Seasons Op 8 Concerto No 1 in E Major RV 269 La primavera Spring III Danza pastorale Allegro.mp3,000004_Le quattro stagioni The Four Seasons Op 8 Concerto No 1 in E Major RV 269 La primavera Spring III Danza pastorale Allegro.mp3,Antonio Vivaldi,spotify:artist:2QOIawHpSlOwXDvSqQ9YJR,Vivaldi: The Four Seasons - Oboe Concerto - Double Concerto,2012-03-20,0.225,0.191,4,-13.850999999999999,1,0.039,0.647,0.0688,0.17300000000000001,0.22399999999999998,87.152,[[0.14315137 0.15469098 0.14900914 ... 0.04873597 0.05292254 0.05195936]],7.936045125903578,6.983146554330317,0.3605093667627166,55.396838649164664,0.32893306016921997,0.05198391526937485,0.10867475718259811,0.026535257697105408,-201.16360473632812,160.5681915283203,-55.9776611328125,33.05854415893555,-9.41280746459961,-0.32688993215560913,-14.993000984191895,-2.8027846813201904,-4.32988166809082,-2.312091588973999,7.903891086578369,-2.640742063522339,47.561737060546875,16.126935958862305,12.502026557922363,9.998642921447754,10.675538063049316,11.951248168945312,9.068710327148438,9.911555290222168,9.49372673034668,12.779324531555176,11.06188678741455,11.552129745483398,-91.90528106689453,210.9003448486328,-24.092819213867188,61.33180236816406,16.799510955810547,37.5001335144043,13.80733871459961,34.05516815185547,35.00978469848633,51.016319274902344,46.975502014160156,29.86212730407715,-294.6726379394531,112.09478759765625,-101.63106536865234,6.9244585037231445,-41.56019973754883,-30.030569076538086,-51.49735641479492,-39.04106521606445,-36.30144500732422,-36.07151794433594,-23.376277923583984,-36.280487060546875
3gVMPVKjltWS7IRAIwFu4v,classical,"Cantata, BWV 76: Es danke, Gott, und lobe dich das Volk in guten Taten",https://p.scdn.co/mp3-preview/6fa7dc58acc5768c043e22667175768032527e83?cid=b82fb22d072d4120850c99225ff01644,./scrapes/classical/000005_Cantata BWV 76 Es danke Gott und lobe dich das Volk in guten Taten.mp3,000005_Cantata BWV 76 Es danke Gott und lobe dich das Volk in guten Taten.mp3,Yo-Yo Ma,spotify:artist:5Dl3HXZjG6ZOWT5cV375lk,Simply Baroque II (Remastered),2000,0.175,0.0736,8,-23.180999999999997,0,0.0395,0.8059999999999999,0.8740000000000001,0.245,0.14,72.829,[[0.10952254 0.13920459 0.15447387 ... 0.17517754 0.19332983 0.20498404]],18.609037526205405,13.807754616017135,1.2028885078407745,111.96732614886787,0.46763890981674194,0.06716449558734894,0.16874676942825317,0.048470523208379745,-161.39141845703125,177.27243041992188,-31.304574966430664,26.31350326538086,4.296866416931152,20.125211715698242,-9.024962425231934,2.548919677734375,-6.047025680541992,-1.4099466800689697,-3.1608426570892334,-0.7886146306991577,34.33482360839844,21.965133666992188,10.909418106079102,9.958009719848633,11.728120803833008,11.96891975402832,10.351304054260254,8.82598876953125,7.665996074676514,7.5632147789001465,8.501112937927246,8.979622840881348,-86.8776626586914,230.5804443359375,9.975862503051758,55.25148010253906,38.781768798828125,53.97172927856445,21.821640014648438,30.157154083251953,19.63572883605957,23.098600387573242,31.865131378173828,38.16997528076172,-247.56649780273438,121.69615173339844,-63.19186019897461,-6.525137424468994,-27.73422622680664,-15.056610107421875,-41.805973052978516,-25.79446792602539,-28.085960388183594,-29.28913116455078,-31.177330017089844,-28.964441299438477
0rhkXWC0OGiOPb5fiDQ0cE,classical,"Matthäus Passion, BWV 244",https://p.scdn.co/mp3-preview/6780cc8728e42ece213c98fa2f3d4e411a42a571?cid=b82fb22d072d4120850c99225ff01644,./scrapes/classical/000006_Matth us Passion BWV 244.mp3,000006_Matth us Passion BWV 244.mp3,Johann Sebastian Bach,spotify:artist:5aIqB5nVVvmFsvSdExz408,"Bach: Matthäus Passion, BWV 244",2007-02-20,0.23800000000000002,0.188,10,-19.67,0,0.0457,0.975,0.853,0.163,0.262,69.009,[[0.114223   0.11782605 0.13934414 ... 0.15496972 0.14014873 0.13855202]],9.013194945696677,9.0332959586744,0.031446279718959746,77.23188199180424,0.3883857727050781,0.06078924983739853,0.11353610455989838,0.007836996577680111,-214.45774841308594,200.58810424804688,-21.016258239746094,11.360549926757812,4.886502742767334,-0.6477723717689514,-9.264756202697754,-3.342142343521118,9.372688293457031,-10.831073760986328,-13.468047142028809,-1.2604650259017944,55.06327438354492,22.023967742919922,23.419992446899414,14.421905517578125,15.385598182678223,14.080373764038086,8.927775382995605,8.544699668884277,8.335472106933594,7.106032371520996,7.703633785247803,7.4675679206848145,-128.6599578857422,242.0941162109375,49.72785186767578,61.68428421020508,37.91869354248047,49.116756439208984,15.917011260986328,26.005401611328125,32.82270812988281,11.45439338684082,11.079773902893066,25.066837310791016,-384.169677734375,132.73390197753906,-70.72792053222656,-31.94649887084961,-47.191383361816406,-34.90264892578125,-41.74920654296875,-32.36528015136719,-21.329893112182617,-33.663902282714844,-38.95867919921875,-27.26265525817871
5z90WkDbxQE6QFRINszU7C,classical,"Chopin: 24 Préludes, Op. 28: No. 6 in B Minor",https://p.scdn.co/mp3-preview/3a8df7cb41a10b9b981d4be2f06fe8d736ac1e8b?cid=b82fb22d072d4120850c99225ff01644,./scrapes/classical/000007_Chopin 24 Pr ludes Op 28 No 6 in B Minor.mp3,000007_Chopin 24 Pr ludes Op 28 No 6 in B Minor.mp3,Frédéric Chopin,spotify:artist:7y97mc3bZRFXzT2szRM4L4,"Chopin: 24 Préludes - Brahms: Intermezzo, Op. 117 No. 1 - Schumann: Ghost Variations",2020-02-28,0.212,0.0031899999999999997,4,-35.174,0,0.0447,0.995,0.9079999999999999,0.0791,0.145,76.35600000000001,[[0.05165453 0.05103028 0.052281   ... 0.05119036 0.06768205 0.06918827]],7.334943527550905,9.665816808481635,0.12234100895631794,70.28856885592057,0.3705163598060608,0.06574414670467377,0.07465968281030655,0.015457919798791409,-349.2564392089844,204.07261657714844,60.65190887451172,-2.6166231632232666,5.188002109527588,8.86507511138916,-2.4939451217651367,-7.833384037017822,-9.062920570373535,-12.013932228088379,-12.64230728149414,-11.209918022155762,60.26472854614258,39.460941314697266,29.1487979888916,24.506816864013672,11.689264297485352,8.536872863769531,9.066675186157227,6.425806045532227,6.259786605834961,6.826444149017334,6.518166542053223,6.003979206085205,-203.61593627929688,284.02459716796875,102.59584045410156,48.04012680053711,37.861732482910156,34.89601135253906,22.70110321044922,12.214105606079102,12.814949035644531,10.093866348266602,6.133589744567871,8.227972030639648,-458.1928405761719,116.99335479736328,-13.507169723510742,-46.07969284057617,-20.195865631103516,-10.407735824584961,-34.29093933105469,-27.739906311035156,-25.2431640625,-33.3515625,-32.122825622558594,-29.528690338134766
7i4S9LwE1LSvIWwBp7NYPV,classical,"Symphony No. 25 in G Minor, K. 183: III. Minuet - Trio (Live)",https://p.scdn.co/mp3-preview/dc11f93445096766a8ca430dde38a460efbd1c8a?cid=b82fb22d072d4120850c99225ff01644,./scrapes/classical/000008_Symphony No 25 in G Minor K 183 III Minuet Trio Live.mp3,000008_Symphony No 25 in G Minor K 183 III Minuet Trio Live.mp3,Wolfgang Amadeus Mozart,spotify:artist:4NJhFmfw43RLBLjQvxDuRS,"Haydn, Mozart & Others: Orchestral Works (Live)",2019-12-13,0.401,0.0191,7,-18.785999999999998,1,0.044000000000000004,0.9890000000000001,0.278,0.285,0.212,120.184,[[0.0304264  0.03168441 0.0315025  ... 0.05093384 0.05573776 0.05385729]],9.275919787266105,13.530173378049643,0.005326402179659739,98.00111201738582,0.4375024735927582,0.08549219369888306,0.07707592844963074,0.0032253882382065058,-253.05039978027344,178.1376495361328,-13.95906925201416,10.548620223999023,15.078437805175781,0.5829072594642639,-8.20197868347168,-5.306893825531006,-6.8406782150268555,-7.516252517700195,-4.0492024421691895,-5.8708882331848145,79.6705093383789,24.32477378845215,30.05740737915039,13.018802642822266,13.03342342376709,9.494889259338379,9.886212348937988,7.976432800292969,7.334961414337158,7.125604152679443,7.715492248535156,8.059595108032227,-121.4802017211914,223.96743774414062,63.03673553466797,44.16644287109375,40.875709533691406,24.809913635253906,19.19144058227539,16.66567611694336,17.17426109313965,11.798433303833008,16.067819595336914,18.877952575683594,-441.75213623046875,90.48408508300781,-66.59744262695312,-29.091833114624023,-21.821632385253906,-33.50984191894531,-38.51734924316406,-31.96941566467285,-29.911357879638672,-29.173250198364258,-33.028541564941406,-35.745872497558594
23sEBdM3pv0tgzNoGaZjqm,classical,"Matthäus Passion, BWV 244: Aria, ""Geduld!""",https://p.scdn.co/mp3-preview/11b4409a42fb419482e01789bd39b91e76dccca4?cid=b82fb22d072d4120850c99225ff01644,./scrapes/classical/000009_Matth us Passion BWV 244 Aria Geduld.mp3,000009_Matth us Passion BWV 244 Aria Geduld.mp3,Johann Sebastian Bach,spotify:artist:5aIqB5nVVvmFsvSdExz408,"Bach: Matthäus Passion, BWV 244",2007-02-20,0.436,0.0802,8,-21.241999999999997,0,0.0402,0.9670000000000001,0.0228,0.107,0.502,61.292,[[0.07673544 0.08493122 0.10807566 ... 0.09219611 0.09091257 0.09054072]],5.744295797110947,8.720965709709857,0.06457629121130637,103.3732888936157,0.44933390617370605,0.05632961168885231,0.07447328418493271,0.01123056374490261,-247.0952911376953,177.73226928710938,-9.124119758605957,4.483863353729248,13.843879699707031,16.02031135559082,-14.09334945678711,-11.301556587219238,7.482290267944336,0.4380861520767212,-20.960350036621094,-3.2482059001922607,47.99588394165039,24.916271209716797,23.03278923034668,22.240514755249023,16.53440284729004,14.058951377868652,11.00283145904541,12.213682174682617,10.367722511291504,8.83902359008789,11.872261047363281,11.522303581237793,-114.90077209472656,224.5531005859375,48.35157775878906,92.03515625,55.72605514526367,57.79599380493164,13.78549575805664,24.860109329223633,43.032073974609375,33.70226287841797,14.819053649902344,40.20411682128906,-369.32415771484375,66.91020202636719,-67.53713989257812,-42.229156494140625,-54.95542526245117,-31.483295440673828,-55.08422088623047,-46.3965950012207,-25.516483306884766,-35.7158203125,-60.567626953125,-38.28187561035156
